Material,Material Description,Material Group,Division,EAN/UPC,Weight unit,Gross Weight,Net Weight,Material type descr.,Material Group Desc.,Material grp desc. 2,Name,PH Level 01,PH Level 01 - Desc.,PH Level 02,PH Level 02 - Desc.,PH Level 03,PH Level 03 - Desc.,PH Level 04,PH Level 04 - Desc.,PH Level 05,PH Level 05 - Desc.
1200/I40,NORMAL BONE CEMENT (SIMPLEX) 40GM,BN-CEMENT,BC,,KG,0.000,0.000,Trading Material(Num-Alp),Bone Cement,Bone Cement,Bone Cement,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,001,Bone Cement
4T-PT11003049,1.5mm LPS T Plate Mini 3 Hole L49,TI-PT069,TI,,KG,0.000,0.000,FG Material-Trauma,2.4LPS Vol RimDisRad,2.4mm LPS Volar Rim,Trauma - Implant,TR,Trauma,003,Armar (Ti),0001,3.5 Plate,0001,Plate,001,3.5 Lps T Plates (Right Angled)
4T-PT11004044,1.5mm LPS T Plate Mini 4 Hole L44,TI-PT069,TI,,KG,0.000,0.000,FG Material-Trauma,2.4LPS Vol RimDisRad,2.4mm LPS Volar Rim,Trauma - Implant,TR,Trauma,003,Armar (Ti),0001,3.5 Plate,0001,Plate,001,3.5 Lps T Plates (Right Angled)
ACLMRL100-UK,FEMORAL UNI IMPLANT SIZE 1 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL200-UK,FEMORAL UNI IMPLANT SIZE 2 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL300-UK,FEMORAL UNI IMPLANT SIZE 3 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL400-UK,FEMORAL UNI IMPLANT SIZE 4 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL500-UK,FEMORAL UNI IMPLANT SIZE 5 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL600-UK,FEMORAL UNI IMPLANT SIZE 6 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL100-UK,FEMORAL UNI IMPLANT SIZE 1 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL200-UK,FEMORAL UNI IMPLANT SIZE 2 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL300-UK,FEMORAL UNI IMPLANT SIZE 3 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL400-UK,FEMORAL UNI IMPLANT SIZE 4 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL500-UK,FEMORAL UNI IMPLANT SIZE 5 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL600-UK,FEMORAL UNI IMPLANT SIZE 6 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACXX01O-F,Anterior Reference Adjustment Block,KN-TLN-PS,KN,,KG,0.000,0.000,Trading Knee Instrument,Tibialliner Trial PS,Tibial liner Trial P,Knee Instrument,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,003,Set PS
ACXX02O-F,Posterior Reference Adjustment Block,KN-TLN-PS,KN,,KG,0.000,0.000,Trading Knee Instrument,Tibialliner Trial PS,Tibial liner Trial P,Knee Instrument,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,003,Set PS
AECRXA109-K,TIBIAL LINER CR A1 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXA11-K1,XXX-Block Code,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AECRXA11-K4,XXX-Block Code,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AECRXA11-K7,XXX-Block Code,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AECRXA111-K,TIBIAL LINER CR A1 E-CiMa ALLPOLY 11mm,KI-AP-CR,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner CR,Allpoly Liner CR,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXA114-K,TIBIAL LINER CR A1 E-CiMa ALLPOLY 14mm,KI-AP-CR,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner CR,Allpoly Liner CR,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXA117-K,TIBIAL LINER CR A1 E-CiMa ALLPOLY 17mm,KI-AP-CR,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner CR,Allpoly Liner CR,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXA120-K,TIBIAL LINER CR A1 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXB209-K,TIBIAL LINER CR B2 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXB211-K,TIBIAL LINER CR B2 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXB214-K,TIBIAL LINER CR B2 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXB217-K,TIBIAL LINER CR B2 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXB220-K,TIBIAL LINER CR B2 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC209-K,TIBIAL LINER CR C2 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC211-K,TIBIAL LINER CR C2 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC214-K,TIBIAL LINER CR C2 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC217-K,TIBIAL LINER CR C2 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC220-K,TIBIAL LINER CR C2 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC309-K,TIBIAL LINER CR C3 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC311-K,TIBIAL LINER CR C3 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC314-K,TIBIAL LINER CR C3 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC317-K,TIBIAL LINER CR C3 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXC320-K,TIBIAL LINER CR C3 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD209-K,TIBIAL LINER CR D2 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD211-K,TIBIAL LINER CR D2 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD214-K,TIBIAL LINER CR D2 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD217-K,TIBIAL LINER CR D2 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD220-K,TIBIAL LINER CR D2 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD309-K,TIBIAL LINER CR D3 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD311-K,TIBIAL LINER CR D3 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD314-K,TIBIAL LINER CR D3 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD317-K,TIBIAL LINER CR D3 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD320-K,TIBIAL LINER CR D3 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD409-K,TIBIAL LINER CR D4 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD411-K,TIBIAL LINER CR D4 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD414-K,TIBIAL LINER CR D4 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD417-K,TIBIAL LINER CR D4 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXD420-K,TIBIAL LINER CR D4 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE409-K,TIBIAL LINER CR E4 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE411-K,TIBIAL LINER CR E4 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE414-K,TIBIAL LINER CR E4 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE417-K,TIBIAL LINER CR E4 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE420-K,TIBIAL LINER CR E4 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE509-K,TIBIAL LINER CR E5 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE511-K,TIBIAL LINER CR E5 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE514-K,TIBIAL LINER CR E5 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE517-K,TIBIAL LINER CR E5 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXE520-K,TIBIAL LINER CR E5 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXF509-K,TIBIAL LINER CR F5 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXF511-K,TIBIAL LINER CR F5 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXF514-K,TIBIAL LINER CR F5 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXF517-K,TIBIAL LINER CR F5 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXF520-K,TIBIAL LINER CR F5 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXG709-K,TIBIAL LINER CR G7 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXG711-K,TIBIAL LINER CR G7 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXG714-K,TIBIAL LINER CR G7 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXG717-K,TIBIAL LINER CR G7 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXG720-K,TIBIAL LINER CR G7 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXH709-K,TIBIAL LINER CR H7 E-CiMa ALLPOLY 9mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXH711-K,TIBIAL LINER CR H7 E-CiMa ALLPOLY 11mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXH714-K,TIBIAL LINER CR H7 E-CiMa ALLPOLY 14mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXH717-K,TIBIAL LINER CR H7 E-CiMa ALLPOLY 17mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AECRXH720-K,TIBIAL LINER CR H7 E-CiMa ALLPOLY 20mm,KI-DK-EAC,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM CR,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,001,Liner Allpoly CR
AEPSXA109-K,TIBIAL LINER PS A1 E-CiMa ALLPOLY 9mm,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXA11-K1,XXX-Block Code,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AEPSXA11-K4,XXX-Block Code,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AEPSXA11-K7,XXX-Block Code,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,005,Implant Code
AEPSXA111-K,TIBIAL LINER PS A1 E-CiMa ALLPOLY 11mm,KI-AP-PS,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner PS,Allpoly Liner PS,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXA114-K,TIBIAL LINER PS A1 E-CiMa ALLPOLY 14mm,KI-AP-PS,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner PS,Allpoly Liner PS,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXA117-K,TIBIAL LINER PS A1 E-CiMa ALLPOLY 17mm,KI-AP-PS,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Liner PS,Allpoly Liner PS,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXA120-K,TIBIAL LINER PS A1 E-CiMa ALLPOLY 20mm,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXB209-K,TIBIAL LINER PS B2 E-CiMa ALLPOLY 9mm,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
AEPSXB211-K,TIBIAL LINER PS B2 E-CiMa ALLPOLY 11mm,KI-DK-EAP,KI,,KG,0.000,0.000,FG Material-Knee,Allpoly Lnr E-CiM PS,Allpoly Liner E-CiMa,Knee Implant,KN,Knee,002,Freedom,0001,Primary,0001,Liner - Knee,002,Liner Allpoly PS
